instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.304 - Vigilância Sanitária,PAGO,1554960.21,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.305 - Vigilância Epidemiológica,PAGO,7266823.39,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.122 - Administração Geral,PAGO,2.2663666291E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12 - Educação,PAGO,3.0311295244E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.361 - Ensino Fundamental,PAGO,1.6567890591E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.365 - Educação Infantil,PAGO,4.028297268E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.366 - Educação de Jovens e Adultos,PAGO,298007.73,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.367 - Educação Especial,PAGO,43847.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.122 - Administração Geral,PAGO,6.421717732E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13 - Cultura,PAGO,4460734.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13.392 - Difusão Cultural,PAGO,2779212.44,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13.122 - Administração Geral,PAGO,1681522.08,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,14 - Direitos da Cidadania,PAGO,43621.32,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,14.122 - Administração Geral,PAGO,43621.32,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15 - Urbanismo,PAGO,1.2510879976E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.451 - Infraestrutura Urbana,PAGO,4.35628836E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.452 - Serviços Urbanos,PAGO,6.151491732E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15.122 - Administração Geral,PAGO,2.003099884E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16 - Habitação,PAGO,1.056471919E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16.482 - Habitação Urbana,PAGO,9795680.7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,16.122 - Administração Geral,PAGO,769038.49,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,18 - Gestão Ambiental,PAGO,1198948.23,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,18.542 - Controle Ambiental,PAGO,1198948.23,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,20 - Agricultura,PAGO,6941582.78,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,20.608 - Promoção da Produção Agropecuária,PAGO,954772.49,2020
